AssetType,Symbol,Name,TransactionType,Quantity,UnitPrice,TotalValue,Commission,CommissionCurrency,Date,Notes
CRYPTO,BTC,Bitcoin,BUY,0.5,150000.00,75000.00,50.00,PLN,2024-01-15 10:30:00,Pierwszy zakup BTC
CRYPTO,BTC,Bitcoin,BUY,0.25,145000.00,36250.00,25.00,PLN,2024-02-20 14:15:00,Dokupienie na spadku
CRYPTO,ETH,Ethereum,BUY,2.0,12500.00,25000.00,20.00,PLN,2024-01-20 09:00:00,Zakup Ethereum
CRYPTO,ETH,Ethereum,SELL,0.5,14000.00,7000.00,15.00,PLN,2024-03-10 16:45:00,Realizacja czesciowego zysku
CRYPTO,SOL,Solana,BUY,10.0,450.00,4500.00,10.00,PLN,2024-02-01 11:20:00,Zakup Solana
STOCK,CDR.WA,CD Projekt,BUY,50,120.50,6025.00,19.00,PLN,2024-01-10 09:30:00,Zakup akcji CDP
STOCK,CDR.WA,CD Projekt,BUY,30,115.00,3450.00,15.00,PLN,2024-02-15 10:00:00,Usrednienie pozycji
STOCK,PKO.WA,PKO BP,BUY,100,45.20,4520.00,15.00,PLN,2024-01-25 11:45:00,Zakup akcji bankowych
STOCK,AAPL,Apple Inc.,BUY,10,185.00,1850.00,5.00,USD,2024-02-05 15:30:00,Zakup Apple
STOCK,MSFT,Microsoft,BUY,5,420.00,2100.00,5.00,USD,2024-02-10 16:00:00,Zakup Microsoft
STOCK,PKO.WA,PKO BP,SELL,50,48.50,2425.00,10.00,PLN,2024-03-20 10:30:00,Sprzedaz czesci pozycji
CURRENCY,EUR,Euro,BUY,500,4.32,2160.00,0.00,PLN,2024-01-05 12:00:00,Wymiana na wakacje
CURRENCY,USD,Dolar amerykanski,BUY,1000,4.05,4050.00,0.00,PLN,2024-01-12 10:00:00,Rezerwa walutowa
CURRENCY,GBP,Funt brytyjski,BUY,200,5.12,1024.00,0.00,PLN,2024-02-08 09:30:00,Zakup funtow
CURRENCY,CHF,Frank szwajcarski,BUY,300,4.55,1365.00,0.00,PLN,2024-02-25 14:00:00,Inwestycja w CHF
CURRENCY,EUR,Euro,SELL,100,4.38,438.00,0.00,PLN,2024-03-15 11:00:00,Realizacja zysku na EUR
